company_name,fund_name,management_fees,sales_fees,custody_fees,office_admin_fees,other_expenses,ter,front_end_commission,back_end_commission,trading_fee_ratio,category
미래에셋자산운용,미래에셋TIGER미국S&P500증권상장지수투자신탁(주식),0.0002,0.0001,0.005,0.0015,0.0600,0.0700,0.000,0.000,0.0376,S&P500
엔에이치아문디자산운용,NH-AmundiHANARO미국S&P500증권상장지수투자신탁(주식),0.02,0.005,0.01,0.01,0.5200,0.5700,0.000,0.000,0.0221,S&P500
우리자산운용,우리WON미국S&P500증권상장지수투자신탁(주식),0.029,0.001,0.01,0.01,0.1400,0.1900,0.000,0.000,0.1143,S&P500
케이비자산운용,KBRISE미국S&P500증권상장지수투자신탁(주식),0.0001,0.0001,0.0035,0.001,0.0700,0.0800,0.000,0.000,0.0593,S&P500
케이비자산운용,KBRISE미국S&P500증권상장지수투자신탁(주식)(H),0.0001,0.0001,0.0035,0.001,0.1600,0.1600,0.000,0.000,0.1036,S&P500
한국투자신탁운용,한국투자ACE미국S&P500증권상장지수투자신탁(주식),0.0001,0.0001,0.0035,0.001,0.0700,0.0700,0.000,0.000,0.0308,S&P500
한화자산운용,한화PLUS미국S&P500증권상장지수투자신탁(주식),0.05,0.001,0.01,0.009,0.1900,0.2600,0.000,0.000,0.2194,S&P500
미래에셋자산운용,미래에셋TIGER미국나스닥100증권상장지수투자신탁(주식),0.0002,0.0001,0.005,0.0015,0.1000,0.1100,0.000,0.000,0.0299,Nasdaq100
미래에셋자산운용,미래에셋TIGER미국나스닥100증권상장지수투자신탁(주식-파생형)(H),0.05,0.001,0.01,0.009,0.1200,0.1900,0.000,0.000,0.0774,Nasdaq100
삼성자산운용,삼성KODEX미국나스닥100증권상장지수투자신탁[주식],0.0001,0.001,0.005,0.0001,0.0900,0.1000,0.000,0.000,0.0548,Nasdaq100
삼성자산운용,삼성KODEX미국나스닥100증권상장지수투자신탁[주식](H),0.0009,0.001,0.005,0.003,0.1200,0.1300,0.000,0.000,0.0976,Nasdaq100
신한자산운용,신한SOL미국나스닥100증권상장지수투자신탁[주식],0.029,0.001,0.01,0.01,0.1400,0.1900,0.000,0.000,0.1210,Nasdaq100
케이비자산운용,KBRISE미국나스닥100증권상장지수투자신탁(주식),0.0001,0.0001,0.005,0.001,0.1100,0.1100,0.000,0.000,0.0412,Nasdaq100
키움투자자산운용,키움KIWOOM미국나스닥100증권상장지수투자신탁[주식](H),0.02,0.001,0.01,0.009,0.1100,0.1500,0.000,0.000,0.2801,Nasdaq100
하나자산운용,하나1Q미국나스닥100증권상장지수투자신탁[주식],0.0001,0.0001,0.005,0.0003,0.0400,0.0400,0.000,0.000,0.0436,Nasdaq100
한국투자신탁운용,한국투자ACE미국나스닥100증권상장지수투자신탁(주식),0.0001,0.0001,0.005,0.001,0.0900,0.1000,0.000,0.000,0.0361,Nasdaq100
